onset	duration	trial_type	hand	congruency	direction	ball_color	hit
9.4853515625	1.0	premove	left	incongruent	left	yellow	0
10.4853515625	0.0	execution	left	incongruent	left	yellow	1
17.451171875	0.0	hit	left	incongruent	left	yellow	1
20.751953125	1.0	premove	left	congruent	left	red	0
21.751953125	4.3994140625	execution	left	congruent	left	red	1
26.1513671875	0.0	hit	left	congruent	left	red	1
29.3681640625	0.9990234375	premove	left	incongruent	right	yellow	0
30.3671875	4.9833984375	execution	left	incongruent	right	yellow	1
35.3505859375	0.0	hit	left	incongruent	right	yellow	1
38.4345703125	0.9990234375	premove	left	congruent	right	red	0
39.43359375	5.599609375	execution	left	congruent	right	red	1
45.033203125	0.0	hit	left	congruent	right	red	1
48.5	1.0	premove	left	incongruent	left	yellow	0
49.5	0.0	execution	left	incongruent	left	yellow	1
64.8818359375	0.0	hit	left	incongruent	left	yellow	1
67.9326171875	1.0	premove	left	incongruent	right	yellow	0
68.9326171875	4.783203125	execution	left	incongruent	right	yellow	1
73.7158203125	0.0	hit	left	incongruent	right	yellow	1
76.6650390625	1.0	premove	left	congruent	right	red	0
77.6650390625	0.0	execution	left	congruent	right	red	1
84.3642578125	0.0	hit	left	congruent	right	red	1
87.3642578125	1.0	premove	left	incongruent	left	yellow	0
88.3642578125	5.31640625	execution	left	incongruent	left	yellow	1
93.6806640625	0.0	hit	left	incongruent	left	yellow	1
96.4970703125	1.0009765625	premove	left	congruent	left	red	0
97.498046875	0.0	execution	left	congruent	left	red	1
103.9970703125	0.0	hit	left	congruent	left	red	1
106.646484375	1.0	premove	left	incongruent	right	yellow	0
107.646484375	5.0166015625	execution	left	incongruent	right	yellow	1
112.6630859375	0.0	hit	left	incongruent	right	yellow	1
115.1640625	0.9990234375	premove	left	congruent	right	red	0
116.1630859375	0.0	execution	left	congruent	right	red	1
122.529296875	0.0	hit	left	congruent	right	red	1
125.3623046875	1.0009765625	premove	left	incongruent	left	yellow	0
126.36328125	0.0	execution	left	incongruent	left	yellow	1
132.8291015625	0.0	hit	left	incongruent	left	yellow	1
135.912109375	1.0	premove	left	congruent	left	red	0
136.912109375	5.5498046875	execution	left	congruent	left	red	1
142.4619140625	0.0	hit	left	congruent	left	red	1
145.76171875	1.0	premove	left	incongruent	right	yellow	0
146.76171875	5.1162109375	execution	left	incongruent	right	yellow	1
151.8779296875	0.0	hit	left	incongruent	right	yellow	1
154.8447265625	1.0	premove	left	congruent	right	red	0
155.8447265625	5.94921875	execution	left	congruent	right	red	1
161.7939453125	0.0	hit	left	congruent	right	red	1
164.8779296875	1.0	premove	left	incongruent	left	yellow	0
165.8779296875	5.44921875	execution	left	incongruent	left	yellow	1
171.3271484375	0.0	hit	left	incongruent	left	yellow	1
174.310546875	1.0	premove	left	congruent	left	red	0
175.310546875	5.265625	execution	left	congruent	left	red	1
180.576171875	0.0	hit	left	congruent	left	red	1
183.310546875	0.9990234375	premove	left	incongruent	right	yellow	0
184.3095703125	5.5498046875	execution	left	incongruent	right	yellow	1
189.859375	0.0	hit	left	incongruent	right	yellow	1
192.626953125	1.0	premove	left	congruent	right	red	0
